pipeline_id,execution_time,records_processed,missing_values,duplicate_records,alert_count,failure
2,101.22,11521,76,56,0,0
9,69.54,5050,21,1,5,0
9,142.81,2850,87,47,5,1
3,47.68,10197,37,42,9,1
7,81.94,8309,84,67,7,0
5,22.19,11248,44,10,6,0
6,105.69,7952,60,48,1,0
9,131.66,10147,63,21,4,0
8,133.2,7958,17,69,1,0
4,41.62,7791,53,72,4,0
9,35.85,11485,31,26,7,0
2,85.81,1760,73,16,7,0
8,72.52,9650,77,69,5,1
7,67.41,3784,55,72,5,0
10,53.81,2345,36,44,6,0
4,70.82,10088,60,66,2,0
3,56.53,3917,4,55,10,0
6,28.34,8048,0,79,4,0
1,41.14,4735,19,76,6,0
8,38.9,11969,94,48,5,0
2,138.95,9807,25,42,2,0
8,15.0,6842,21,38,2,0
7,49.35,4895,50,0,7,0
3,145.2,6694,30,50,10,0
3,117.6,8886,28,38,10,1
10,56.78,4823,37,54,10,0
10,81.0,8521,0,18,3,0
5,66.38,9112,3,64,8,0
10,27.26,4269,38,70,3,0
8,32.21,2323,61,49,6,1
8,40.43,2927,67,5,8,0
6,140.7,11809,16,28,10,0
8,56.81,5603,31,8,6,0
5,77.12,5563,27,14,3,0
10,87.69,10817,93,16,0,0
3,11.25,6966,80,46,6,0
4,37.14,9605,52,38,4,0
8,120.76,4772,25,28,4,0
9,143.88,10521,4,1,5,0
9,30.89,5510,16,13,0,0
5,35.55,3867,5,60,7,0
3,39.42,7651,28,79,3,0
9,105.32,11814,14,15,5,0
10,68.92,3636,97,32,10,0
10,101.5,2344,18,20,10,1
5,130.84,7122,86,40,2,0
2,134.48,8591,80,37,5,0
8,40.31,7687,96,52,5,0
6,125.55,10723,84,17,6,1
8,146.92,11513,34,27,5,0
8,62.37,3998,41,60,6,0
6,48.51,3349,37,45,2,0
7,137.22,9678,70,70,9,1
9,77.8,9530,4,59,6,0
6,41.83,7093,35,8,5,0
10,52.41,11111,83,22,7,0
2,29.79,7094,0,1,2,0
5,139.68,8045,52,34,6,1
5,115.86,2292,0,9,1,0
2,117.68,3859,93,20,4,0
6,119.59,4551,81,77,2,0
1,87.45,6098,99,3,1,0
2,67.1,2769,79,71,6,0
10,32.92,9923,65,1,10,0
3,110.18,11820,33,9,6,1
6,10.4,11162,36,49,5,0
1,90.97,10764,17,19,10,0
7,18.79,7561,4,79,7,0
3,109.19,3709,66,31,0,0
10,60.41,7605,2,73,3,0
9,124.29,3187,33,18,4,0
9,44.11,11907,86,42,7,1
7,10.68,6224,41,11,0,0
2,124.34,6107,27,73,5,1
1,45.47,5786,36,49,2,0
3,65.61,7746,73,5,7,1
3,32.47,9449,67,15,7,1
8,134.2,2176,93,39,8,1
3,39.02,2726,30,68,6,0
7,66.58,1900,54,42,3,0
7,20.43,1211,30,51,2,0
8,100.14,4440,42,75,4,0
5,53.76,6230,70,30,1,0
5,130.0,10281,92,7,2,0
1,20.93,9359,6,77,1,0
9,91.24,5941,76,46,9,0
5,91.42,2099,68,20,1,0
5,73.09,6592,58,70,10,1
4,116.79,6466,11,28,9,1
1,85.91,8545,69,19,3,0
4,30.81,9381,51,71,3,0
1,23.41,10235,81,76,10,0
4,75.41,10770,76,25,3,0
4,123.48,8962,35,19,6,0
9,63.43,8485,39,9,1,0
8,105.49,2835,59,25,8,0
6,34.06,6919,34,63,2,0
3,40.27,9637,47,40,10,0
7,135.65,9529,98,6,10,0
10,142.67,5966,41,63,6,0
7,53.21,5242,3,6,10,0
1,95.65,9059,71,7,8,0
4,59.65,4556,42,62,5,0
4,18.27,7099,4,67,1,0
1,116.67,10626,85,57,10,0
3,24.82,9540,99,69,0,0
8,139.04,11417,35,75,4,0
2,77.84,4282,98,42,1,0
2,136.52,7027,95,20,6,0
2,71.54,1486,86,12,1,0
9,17.76,11689,74,35,0,0
10,68.04,10723,4,6,5,0
5,122.91,11498,49,39,0,0
5,11.21,10700,93,7,4,0
2,48.24,7544,71,37,8,0
4,105.79,1247,39,65,9,1
6,86.59,6729,54,3,2,0
2,43.46,2815,77,65,2,0
10,138.42,2230,45,28,1,0
5,108.67,1079,79,63,2,1
5,37.81,10094,17,32,5,0
8,98.46,7087,80,47,8,0
10,50.38,3658,36,42,10,0
7,44.24,9001,93,2,3,0
10,108.19,1443,85,64,10,1
8,94.14,3541,64,40,5,0
1,98.2,8926,60,18,9,0
3,133.67,3139,17,69,3,1
2,77.61,6386,13,41,7,0
2,130.99,7708,52,13,4,0
3,87.62,1032,59,35,8,0
10,15.78,6122,48,43,1,0
3,63.03,1377,63,80,10,1
7,144.34,9432,80,1,7,0
6,69.94,5513,56,79,1,0
3,107.37,6053,50,16,9,0
1,94.81,3657,28,16,3,0
5,120.19,10046,19,35,0,0
4,110.05,6538,18,20,4,0
7,125.17,1282,53,21,5,1
6,48.41,5289,96,26,1,0
3,10.15,9954,82,27,9,0
3,70.9,1043,61,47,4,1
9,89.1,11981,89,37,2,0
9,124.05,3870,65,25,7,0
3,65.74,3673,89,42,6,0
9,74.93,10681,90,9,6,0
