pipeline_id,execution_time,records_processed,missing_values,duplicate_records,alert_count
7,6.003437986055398,514,4,4,2
4,8.685806096609301,2915,0,3,1
8,3.6978719961702553,3185,9,1,2
5,3.732109180213163,3400,4,2,0
7,6.05507431736003,1736,3,0,1
10,4.477068725361594,4600,0,1,0
3,8.371330849784036,3720,6,2,1
7,5.683400767261874,2107,0,3,0
8,2.9108515602865688,4063,7,2,2
5,1.5263671829119487,3797,9,1,1
4,4.843522815313471,3133,1,2,0
8,4.8217537409335325,4390,9,0,1
8,5.627531846616775,4764,4,3,0
3,7.421381147511806,3308,5,0,2
6,7.158226607987855,1291,8,3,1
5,3.8421979353271345,1499,6,3,1
2,2.4123611963911573,651,5,2,0
8,2.531757729981859,3563,4,0,0
6,3.526396589357243,2591,5,3,2
2,4.266536903921962,4582,3,3,0
5,5.610124277930334,4526,0,2,0
1,3.3980648062080405,3477,8,1,0
10,5.560783942226629,1342,4,1,2
6,5.724080291718104,4946,7,4,2
9,5.286687765191779,4293,6,4,1
1,2.74275400597461,2570,7,3,2
10,5.935653450471916,2159,0,1,0
3,9.162539257533446,1097,8,3,1
7,5.491793653825809,3013,0,0,2
4,-0.9061502013025393,4635,2,1,2
9,7.481759144093806,4770,7,1,0
3,3.594504446601227,4103,0,1,0
5,9.531425380991385,1716,0,4,2
3,5.232726902731921,2791,5,2,1
7,1.6305986120283489,4311,4,2,0
5,0.8706050200824951,1431,5,4,2
9,8.079481525351756,2638,2,4,2
7,7.211809971834545,4502,9,4,0
2,9.45203777153338,3478,9,2,1
4,5.021848971147111,4392,5,3,1
9,4.886940233240639,3418,1,4,1
2,4.234562415682885,3064,7,3,0
10,3.6834195174815587,2263,5,3,0
9,4.215140891084369,2670,3,0,0
10,5.434926664648059,835,3,2,1
5,3.3121984261757964,1676,6,3,1
2,1.6614213062520329,3521,2,2,0
4,5.3197532680283555,1278,2,2,0
7,3.267608802613136,1685,5,0,0
8,-1.478875449880138,3785,8,2,1
3,6.105134781314022,3947,0,3,2
1,2.7838819237659433,4491,4,1,2
4,6.323578909381469,2970,0,3,1
2,6.275696213031963,1438,0,3,0
8,5.567180023045665,4506,2,2,0
4,9.993635680712991,2435,2,3,0
2,4.723896300055245,1133,3,1,0
6,4.428720865002823,1753,2,2,1
6,6.367344842833834,1582,5,4,2
10,4.8891052757724145,2643,3,3,2
4,7.320987074788018,1785,7,3,1
6,2.4623881848489555,853,0,0,0
2,2.49565110507132,2385,7,4,2
10,6.531618982652435,2318,0,4,1
2,2.670378121322793,3020,0,1,0
10,6.218197212885428,4508,6,4,2
4,5.740005692420731,3522,0,0,1
8,3.611023427944674,3084,8,1,2
7,5.734340320466868,2047,7,4,2
9,2.530815108431521,4518,0,1,1
8,3.000200147472599,4704,1,4,1
5,4.5256245231758685,1868,1,4,2
2,5.157855638144442,3837,1,4,2
5,4.392722926024285,2257,5,3,1
8,5.866231927746222,2017,3,4,0
10,5.776932830096582,3984,7,3,0
9,8.058733616696289,4185,0,2,0
9,4.809429305709991,3552,9,0,0
1,7.389126862368258,3196,3,1,1
9,6.841451025787786,690,9,1,0
7,9.587954566586296,1432,4,2,2
9,4.745483960195451,4737,8,4,0
8,4.1592825570940235,3738,4,0,1
1,7.515388444487466,2715,2,2,0
8,5.770865143482524,1065,3,2,0
8,7.563318433567799,1634,9,1,1
3,6.433597595979,1243,6,3,0
1,0.7864758172010085,1172,0,3,1
8,5.752643554062366,3411,5,4,0
3,5.622431795902979,1030,7,4,1
3,5.266213804927926,3521,0,2,0
1,4.735513891753234,1061,7,4,2
5,1.8157129444113442,801,6,3,2
10,6.748353834476646,4267,0,0,1
7,5.747536856186989,4780,8,1,1
